"cleans up","KHR-UPZ",0
"cliché","KHRAO-ERB",20
"clichéed","KHRAO-ERBD",15
"clichés","KHRAO-ERBZ",12
"clockwise","KHRO-EUZ",11
"clockwise","KRO-EUZ",0
"Coast Guard","KO-UGD",5
"Coast Guard","KO-URGD",0
"coastline","SKHRAO-EUPB",14
"coastlines","SKHRAO-EUPBZ",0
"cobras","KO-EB/RA-Z",5
"coefficient","KW-EURBT",8
"coefficients","KW-EURBTS",0
"coerced","KO-ERGTSDZ",2
"cogency","KO-EPBLGS/S-EU",3
"cognizant","KO-G/TPH-EUFPBT",5
"collide","KPHRAO-EUD",3
"come back","KPH-B",3
"come out of","KPHO-UFT",24
"comes back","KPH-BZ",0
"comes off","KPHO-FZ",10
"comes on","KPHO-Z",14
"comes out of","KPHO-UFTS",14
"comes over","KPHO*-EFRZ",8
"coming back","KPH-BG",3
"coming off","KPHO-FG",12
"coming out of","KPHO-UFGT",31
"commemorate","KPH-ERPLT",25
"commemoration","KPH-ERPLGS",5
"commemorations","KPH-ERPLGSZ",0
"common denominator","KPHO*-RPLT",34
"common denominators","KPHO*-RPLTS",0
"compensatory","KP-ERPBS",33
"conflagration","KO-PB/TPHRA/TKPWRA-EUGS",0
"congesting","K*-EPBLG",1
"conglomeration","TKPWHRO-RPLGS",8
"conglomerations","TKPWHRO-RPLGSZ",3
"conjugate","KO-PB/SKWRAO-UGT",0
"conjugated","KO-PB/SKWRAO-UGTD",0
"conjugates","KO-PB/SKWRAO-UGTS",0
"Constitutional Reform Act","ST-ULGS/R-FRPL/A-BGT",5
"constitutive","ST*-UFT",9
"contemporanity","KO-PB/T-EFRP/RA-EUPBT",0
"contradictory","KRO-EURBGT",12
"contrast","KRA*-S",9
"contrasts","KRA*-SZ",0
"convects","KW-EBGTS",0
"Coroners & Justice Act","KRO-URPBZ/SKP/SKWR-UFT/A-BGT",0
"correlated","KO-RLTD",15
"correlates","KO-RLTS",17
"correlations","KO-RLGSZ",17
"cortex","KO*-RBGS",16
"cortexes","KO*-RBGSZ",0
"cortices","KO-RTSDZ",13
"cortices","KO-RTSZ",2
"cortices","KO-RTDZ",0
"counterargument","KO-URPBT/A-RGT",2
"counterarguments","KO-URPBT/A-RGTS",2
"counterclockwise","KHRO*-EUZ",12
"counties","KO-UPBT/AO-EZ",1
"couple of others","KPHRO-EFRZ",1
"couple weeks ago","KPHR-BGZ",33
"courageous","KRA-PBLGS",8
"course of","KO-UFRS",31
"crematorium","KR-EPL/TO-ERPL",16
"Croatia","KRO-ERB",9
"Croatian","KRO*-ERB",9
"Croatians","KRO*-ERBZ",0
"crossover","KRO*-EFR",13
"crossovers","KRO*-EFRZ",3
"crowbar","KRO-EB",5
"Cuenca","KW*-EPBG/A",27
"custom","KR-RBGS/-URBGS/S-RBGS/T-RBGS/O-RBGS/PH-RBGS",2
"Daddy Yankee","TKA-D/AO-E/KWRA*-PBG/AO-E",1
"Davis-Bacon Act","TKA*-EUFS/PWAO*-PBG/A-BGT",3
"day and a half","TKA-F",10
"days and a half","TKA-FZ",10
"day-to-day routine","TKA-EU/TO/TKA-EU/RAO-UPBT",0
"declaration","TKHRA-RGS",23
"Declaration of Independence","TKHRA-RPS",4
"deeply","TKAO*-EP",87
"defuse","TKAO-E/TPAO-UZ",10
"degenerating","TKAO*-EPBLGT",7
"degenerative","TKAO-E/SKWR*-EFPBT",9
"Delmart","TK-EL/PHA-RT",6
"dementia","TKPHA-EPBGS",34
"Democrat Party","TKO-EUPT",18
"democratic","TK-EPLD",107
"Democratic Party","TKO*-EUPT",16
"demonstrators","TKPHO-RPBSZ",2
"denominator","TKPHO*-RPLT",0
"denominators","TKPHO*-RPLTS",0
"department","TKPHA-RPLT",0
"deposes","TKPO-ESZ",3
"deprivation","TKPR*-EUFGS",8
"deprivations","TKPR*-EUFGSZ",3
"described this incident","STKHRAO-EUBZ/-EUPBT",0
"detrimental","TKR*-EUPLT",19
"detrimentally","TKPH*-EPBLGTS",8
"detrimentally","TKR*-EUPLTD",16
"devastatingly","TKA*-EFLGT",7
"devastatingly","TKA*-EFLG",0
"devastations","TKA*-EFGSZ",4
"devotional","TKWO-ELGS",23
"devotionals","TKWO-ELGSZ",0
"dichotomous","TKAO-EUBGT/PH-US",8
"dichotomy","TKAO-EUBGT/PHAO-E",3
"Dickensian","TK*-EUBG/-EPBZ/KWRA-PB",1
"Dickensian","TK-EUBG/-EPBZ/KWRA-PB",0
"did I have any","TK*-EUFSZ",6
"did you have any questions","TK*-UFPZ",1
"didn't have to","TK*-EUFPBT",9
"diffuse","TKWAO-UZ",10
"disagreeably","STKPWRA*-EBL",1
"disbursements","STKPW-URPLTS",4
"discouragement","SKR-EPBLGT",22
"disgracefully","STKPWRA*-EUFLS",11
"disloyally","STKHRO*-EUL",6
"disloyalties","STKHRO-EULTS",7
"dismissals","TKPH-EUFLZ",5
"distally","STKA*-L",10
"disturbingly","STK-URBLDZ",0
"DJI Phantom","TK*/SKWRA*-EU/*-EU/TPAO-PLT",2
"DJI Spark","TK*/SKWRA*-EU/*-EU/SPA-RBG",0
"do you have the opinion","TKAO*-UFPT",27
"do you recognize this document","TKAO*-URGDZ",33
"do you see where","TKWRAO-UZ",26
"does he agree","STK-ERG",2
"does he have anything","STK*-EFGS",1
"does he have anything","STK*-EFGSZ",22
"does he have anything else","STK*-EFLGS",2
"does he have anything else","STK*-EFLGSZ",4
"does he leave","#12K-E68",3
"does he now","STK-ERPBLS",1
"does he send","STK-EFRPTD",2
"doesn't matter what","STKA-EFB",17
"domain","TKPHA-EUPB",22
"domestic violence","TKPH-EFBG/TKPH-EFBG",41
"Dora the Explorer","TKO-R/A/-T/SPHRO-ER",2
"Dostoyevsky","TKO*-S/KWR*-EF",51
"double-entry bookkeeping","TKO-UBL/SPWR-EU/PWAO-PG",1
"doubtless","TKO-UTD/-LS",0
"Douglas","TKO-ULGS",8
"down the","TKO*-UPBT",13
"download","TKHRO-ED",6
"downloaded","TKHRO-ETD",3
"downloading","TKHRO-EGD",2
"downloads","TKHRO-EDZ",1
"downtown","TKO*-UPBTD",0
"dramatical","TKRA-BLG",8
"drastically","TKRA-FL",50
"Dumbo","TK-UPL/PWO-E",0
"dysfunctionally","STKP*-UBLGZ",5
"each of","KHO-F",29
"each of the","KHO-FT",17
"each of these","KHO-RPG",6
"each of those","KHO-FBL",3
"each other's","KHO-ERZ",45
"ecclesiastical","KHRAO-EBLG",9
"Edge Pro Apex","'-EPBLG/PRO/A/P-EBGS",6
"efface","AO*-E/TPA-EUS",3
"effaced","AO*-E/TPA-EUSD",3
"effaces","AO*-E/TPA-EUSZ",0
"effacing","AO*-E/TPA-EUFG",1
"eggs","*-EGZ",26
"elapsing","HRA-EPGS",14
"electro","HR*-ERBG",52
"eleemosynary","'-EUL/PHO-ES/TPHA-ER",1
"Elmont","'-EL/PHO-PBT",0
"Elon","AO*-E/HRO-PB",3
"elsewhere","KWR-ELS",1
"embarrassment","KPWA-EUFRT",30
"empirical","KPW-EURBLG",9
"empirical","KPW-EURLG",39
"empirically","KPW*-EURLG",21
"empirically","KPW*-EURBLG",3
"empiricism","KPW-EUR/S-EUFPL",15
"empiricist","KPW-EUR/S*-EUS",18
"employee","KPW/AO-E",0
"emulsifier","PH-ULS/TPAO-EUR",11
"emulsifiers","PH-ULS/TPAO-EURZ",0
"enthusiast","TH*-UBGS",1
"entropy","SPWRO-EUP",13
"ephemeral","'-EF/AO-EPL/RA-L",0
"Epictetus","P*-EUBG/T-ETS",28
"epiphany","'-EP/-EUF/TPH-EU",0
"epistemic","'-EP/ST-EPL/*-EUBG",3
"epistemologist","P*-EUS/O*-LGS",14
"epistemologist","P*-EUS/O-LGS",0
"epistemologists","P*-EUS/O-LGSZ",1
"epistemologists","P*-EUS/O*-LGSZ",1
"Ethan Simcheck","AO*-EPBT/S*-EUPL/KH-EBG",2
"Euan","KWRA*-UPB",1
"eugenicists","AO-U/SKWR-EB/S*-EUSZ",0
"European","AO*-URP",133
"European Communities Act","AO*-URP/KPHAO-UPBTS/A-BGT",7
"European Court of Human Rights","AO*-URP/KO-URT/-F/HAO-UPL/RAO-EUTS",0
"European Union","AO*-URP/AO-UPB",3
"Europeans","AO*-URPZ",20
"Excalibur","SKA-URBL",14
"Exelon","KPHRO-PB",0
"expert witness","SP-EUPBS",86
"explicit","SPHR*-EUFS",59
"explicitly","SPHR*-EUFLS",88
"expressive","SPR*-EFS",52
"extenuating circumstances","ST-EPB/WA-EUGT/-P",14
"extraversion","STRA*-FRGS",1
"extraversions","STRA*-FRGSZ",0
"extravert","STRA*-FRT",23
"extraverts","STRA*-FRTS",6
"face to face","TPA-EUFS",38
"face-to-face","TPA*-EUFS",31
"fact is","TPA*-BGTS",11
"Fahrenheit","TPA-RPBT",5
"faith-reason dichotomy","TPA*-EUT/RAO-EPB/TKPAO-EUBGT/*/TKAO-EUBGT",0
"familiarity","TPA-PL/T-EU",1
"familiarization","TPA*-PLGS",4
"familiarizations","TPA*-PLGSZ",0
"fantastically","TP-BGT/-L/-L",0
"father-in-law","TPA-ER/TPH/HRA-U",4
"fathers-in-law","TPA-ER/-Z/TPH/HRA-U",0
"feasibly","TPAO*-EFBL",11
"feel like","TPHRAO-EL",24
"feeling like","TPHRAO-ELG",12
"feels like","TPHRAO-ELZ",18
"felt like","TPHR-ELT",47
"femme fatale","TP-EPL/TPA-T/A-L",0
"femme fatale","TP-EPL/TPA-EULGTS",0
"Finnish","TPH*-EURB",12
"first of all","TP-EUFRL",27
"Fish & Richardson","TP-EURB/SKP/R*-EUFPDZ",2
"five or ten","TPO*-EUF/O-R/T-EPB",0
"five-minute","TPAO*-EUFPLT",14
"floppy","TPHRO-EUP",18
"focus on","TPO*-EF",103
"focus on the","TPO*-EFT",13
"focused on","TPO*-EFD",50
"focused on the","TPO*-EFTD",10
"focuses on","TPO*-EFZ",17
"focuses on the","TPO*-EFTS",10
"focusing on","TPO*-EFG",43
"focusing on the","TPO*-EFGT",9
"FOMO","TPO-EPL/O-E",0
"fondest","TPO*-PBDZ",10
"for all time","TPRA-UPLT",4
"for how long","TPRO-EUPBG",1
"for lack of a better term","TPHR-ERPL",16
"for lack of a better word","TPHRO-RD",16
"forecasting","TPO*-ERBG",6
"foreclose","TPHRO-EF",5
"foreclosed","TPHRO-EFD",2
"forecloses","TPHRO-EFZ",0
"four ways","TPO-UFRTSZ",12
"fourth-to-last page","TPO*-URT/TO/HRA*-S/PA-EUPBLG",1
"fractionally","TPRA*-BLGZ",1
"fracture","TPRA-RBGT",37
"fractured","TPRA-RBGTD",11
"fractures","TPRA-RBGTS",2
"fracturing","TPRA*-RBGT",9
"frames per second","TPRA-EUPLZ/P-ER/S-EBGD",0
"free market","TKPWRAO-ERBGT",3
"free markets","TKPWRAO-ERBGTS",0
"free speech","TPRAO-EFP",0
"freedom of speech","TPRAO*-EFP",0
"from what is","TPR-FBS",114
"full of","TPHR*-UF",129
"full of it","TPHR*-UFTD",5
"full of the","TPHR*-UFT",14
"furthermore","TP*-URPLT",9
"Fyodor","TPAO-E/KWRO-D/O-R",5
"gang-related violence","TKPWA-PBG/RA-ELTD/SRAO-EUPBS",1
"Gehenna","TKPWH-EPB/A",14
